"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","10","0","0"
"","Product Catalog","Sally sorts by different criteria","0","0","4","0","0"
"","Product Catalog","The one where Sally only wants to see Power Drills","1","0","0","0","0"
"","Product Catalog","The one where Sally searches for a more general term","1","0","0","0","0"
"","Product Catalog","The one where Sally only wants to see Hand Saws","1","0","0","0","0"
"","Product Catalog","The one where Sally searches for a product that doesn't exist","0","0","1","0","0"
"","Product Catalog","The one where Sally searches for an Adjustable Wrench","0","0","1","0","0"
